Id,Designator,Quantity,Designation,,Package,MFC/PN,DigiKey Link,Supplier and ref
23,"C24,C29,C26,C27,C6,C25,C23,C22,C21,C20,C19,C16,C15,C13,C12,C10,C9,C8,C18",19,.01uF,,C-0603,C1608X7R1H103K080AA ,https://www.digikey.com/product-detail/en/C1608X7R1H103K080AA/445-1311-1-ND/567691?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=usd&site=us&utm_source=octopart,
24,C4,1,1uF,,C-0603,CL10B105KO8NNNC ,https://www.digikey.com/product-detail/en/CL10B105KO8NNNC/1276-1019-1-ND/3889105?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=usd&site=us&utm_source=octopart,
25,"C28,C30",2,2.2uF,,C-0805,CGA3E1X5R1C225K080AC ,https://www.digikey.com/product-detail/en/CGA3E1X5R1C225K080AC/445-6932-1-ND/2672950?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=usd&site=us&utm_source=octopart,
26,C31,1,1uF,,C-0805,C0603C225K8PACTU ,https://octopart.com/click/track?country=US&ct=offers&ppid=91232&sid=459&sig=0132ce4&vpid=1038119,
27,"C34,C32,C40,C41,C33,C35",6,4.7uF,,CPL-0805,DNI,DNI,
28,"J15,J17,J14",3,Banana Jack,,Banana_Jack_2Pin,DNI,DNI,
29,U3,1,AT90USB1287-AU,,TQFP-64_14x14mm_P0.8mm,AT90USB1287-AU ,https://www.digikey.com/product-detail/en/AT90USB1287-AU/AT90USB1287-AU-ND/1010019?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=usd&site=us&utm_source=octopart,
30,R174,1,50K,,R_0402_1005Metric,RC0402JR-07150KL ,https://www.digikey.com/product-detail/en/RC0402JR-07150KL/311-150KJRCT-ND/729372?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=usd&site=us&utm_source=octopart,
31,"R10,R8,R7",3,1K,,R_0402_1005Metric,CRG0402F1K0 ,https://www.digikey.com/product-detail/en/CRG0402F1K0/A121534CT-ND/5246514?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=usd&site=us&utm_source=octopart,
32,"R9,R6,R5",3,12K,,R_0402_1005Metric,CRCW040212K0FKED ,https://www.mouser.com/Search/Refine?N=4294759685&Keyword=71-CRCW0402-12K-E3&utm_source=octopart&utm_medium=aggregator&utm_campaign=71-CRCW0402-12K-E3&utm_content=Vishay,
